CDM Table,CDM Field,Data Element,Description,User Guide,ETL Conventions,Datatype
person,person_id,Patient ID,Unique deidentified number used to identify a patient,It is assumed that every person with a different unique identifier is in fact a different person and should be treated independently.,"Any person linkage that needs to occur to uniquely identify Persons ought to be done prior to writing this table. This identifier can be the original id from the source data provided if it is an integer, otherwise it can be an autogenerated number.",integer
person,gender_concept_id,Gender,Concept ID of patient's gender,This field is meant to capture the biological sex at birth of the Person. This field should not be used to study gender identity issues.,Use the gender or sex value present in the data under the assumption that it is the biological sex at birth. If the source data captures gender identity it should be stored in the OBSERVATION table. Accepted gender concepts. Please refer to the THEMIS repository for detailed conventions on how to populate this field.,integer
person,gender_source_value,Gender,Source value of patient's gender,This field is used to store the biological sex of the person from the source data. It is not intended for use in standard analytics but for reference only.,Put the assigned sex at birth of the person as it appears in the source data.,varchar(50)
person,year_of_birth,Year of Birth,Year of birth of patient,Compute age using year_of_birth.,"For data sources with date of birth, the year should be extracted. If no year of birth is available all the person’s data should be dropped from the CDM instance. For additional information on how to populate this field, please refer to the THEMIS repository.",integer
person,month_of_birth,Month of Birth,Month of birth of patient,,"For data sources that provide the precise date of birth, the month should be extracted and stored in this field.",integer
person,race_concept_id,Race,Concept ID of patient's race,This field captures race or ethnic background of the person.,"Only use this field if you have information about race or ethnic background. The Vocabulary contains Concepts about the main races and ethnic backgrounds in a hierarchical system. Due to the imprecise nature of human races and ethnic backgrounds, this is not a perfect system. Mixed races are not supported. If a clear race or ethnic background cannot be established, use Concept_Id 0. Accepted Race Concepts.",integer
person,race_source_value,Race,Source value of patient's race,This field is used to store the race of the person from the source data. It is not intended for use in standard analytics but for reference only.,Put the race of the person as it appears in the source data.,varchar(50)
observation_period,observation_period_id,,Event id in observation table,A Person can have multiple discrete Observation Periods which are identified by the Observation_Period_Id.,Assign a unique observation_period_id to each discrete Observation Period for a Person.,integer
observation_period,person_id,,Unique deidentified number used to identify a patient,The Person ID of the PERSON record for which the Observation Period is recorded.,,integer
observation_period,observation_period_start_date,,First NCCS visit date,Use this date to determine the start date of the Observation Period.,"It is often the case that the idea of Observation Periods does not exist in source data. In those cases, the observation_period_start_date can be inferred as the earliest Event date available for the Person. In insurance claim data, the Observation Period can be considered as the time period the Person is enrolled with a payer. If a Person switches plans but stays with the same payer, and therefore capturing of data continues, that change would be captured in PAYER_PLAN_PERIOD.",date
observation_period,period_type_concept_id,,Concept ID for EHR,"This field can be used to determine the provenance of the Observation Period as in whether the period was determined from an insurance enrollment file, EHR healthcare encounters, or other sources.",Choose the observation_period_type_concept_id that best represents how the period was determined. Accepted Concepts. A more detailed explanation of each Type Concept can be found on the vocabulary wiki.,integer
visit_occurrence,visit_occurrence_id,,Event id in visit_occurrence table,Use this to identify unique interactions between a person and the health care system. This identifier links across the other CDM event tables to associate events with a visit.,This should be populated by creating a unique identifier for each unique interaction between a person and the healthcare system where the person receives a medical good or service over a span of time.,integer
visit_occurrence,person_id,,Unique deidentified number used to identify a patient,,,integer
visit_occurrence,visit_concept_id,,"Concept ID for type of visit (IP, OP)","This field contains a concept id representing the kind of visit, like inpatient or outpatient. All concepts in this field should be standard and belong to the Visit domain.","Populate this field based on the kind of visit that took place for the person. For example this could be “Inpatient Visit”, “Outpatient Visit”, “Ambulatory Visit”, etc. This table will contain standard concepts in the Visit domain. These concepts are arranged in a hierarchical structure to facilitate cohort definitions by rolling up to generally familiar Visits adopted in most healthcare systems worldwide. Accepted Concepts.",integer
visit_occurrence,visit_start_date,,Start date of each visit (or admit date),"For inpatient visits, the start date is typically the admission date. For outpatient visits the start date and end date will be the same.","When populating VISIT_START_DATE, you should think about the patient experience to make decisions on how to define visits. In the case of an inpatient visit this should be the date the patient was admitted to the hospital or institution. In all other cases this should be the date of the patient-provider interaction. If this information is not available the record should be dropped.",date
visit_occurrence,visit_start_datetime,,Start date and time of each visit (or admit date and time),,"If no time is given for the start date of a visit, set it to midnight (00:00:0000).",datetime
visit_occurrence,visit_end_date,,End date of each visit (or discharge date),"For inpatient visits the end date is typically the discharge date. If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_date, then set the visit_end_date to the date of the data pull.","Visit end dates are mandatory. If end dates are not provided in the source there are three ways in which to derive them: - Outpatient Visit: visit_end_datetime = visit_start_datetime - Emergency Room Visit: visit_end_datetime = visit_start_datetime - Inpatient Visit: Usually there is information about discharge. If not, you should be able to derive the end date from the sudden decline of activity or from the absence of inpatient procedures/drugs. - Non-hospital institution Visits: Particularly for claims data, if end dates are not provided assume the visit is for the duration of month that it occurs. For Inpatient Visits ongoing at the date of ETL, put date of processing the data into visit_end_datetime and visit_type_concept_id with 32220 “Still patient” to identify the visit as incomplete. - All other Visits: visit_end_datetime = visit_start_datetime. If this is a one-day visit the end date should match the start date.",date
visit_occurrence,visit_end_datetime,,End date and time of each visit (or discharge date and time),"If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_datetime, then set the visit_end_datetime to the datetime of the data pull.","If no time is given for the end date of a visit, set it to midnight (00:00:0000).",datetime
visit_occurrence,visit_type_concept_id,,Concept ID for EHR,"Use this field to understand the provenance of the visit record, or where the record comes from.","Populate this field based on the provenance of the visit record, as in whether it came from an EHR record or billing claim. Accepted Concepts. A more detailed explanation of each Type Concept can be found on the vocabulary wiki.",Integer
visit_occurrence,visit_source_value,,"Source value for type of visit (IP, OP)","This field houses the verbatim value from the source data representing the kind of visit that took place (inpatient, outpatient, emergency, etc.)","If there is information about the kind of visit in the source data that value should be stored here. If a visit is an amalgamation of visits from the source then use a hierarchy to choose the visit source value, such as IP -> ER-> OP. This should line up with the logic chosen to determine how visits are created.",varchar(50)
visit_occurrence,preceding_visit_occurrence_id,,Event id for preceeding visit,Use this field to find the visit that occurred for the person prior to the given visit. There could be a few days or a few years in between.,"This field can be used to link a visit immediately preceding the current visit. Note this is not symmetrical, and there is no such thing as a “following_visit_id”.",integer
visit_detail,visit_detail_id,,Event id in visit_detail table,Use this to identify unique interactions between a person and the health care system. This identifier links across the other CDM event tables to associate events with a visit detail.,This should be populated by creating a unique identifier for each unique interaction between a person and the healthcare system where the person receives a medical good or service over a span of time.,integer
visit_detail,person_id,,Unique deidentified number used to identify a patient,,,integer
visit_detail,visit_detail_concept_id,,"Concept ID for type of visit (IP, OP)","This field contains a concept id representing the kind of visit detail, like inpatient or outpatient. All concepts in this field should be standard and belong to the Visit domain.","Populate this field based on the kind of visit that took place for the person. For example this could be “Inpatient Visit”, “Outpatient Visit”, “Ambulatory Visit”, etc. This table will contain standard concepts in the Visit domain. These concepts are arranged in a hierarchical structure to facilitate cohort definitions by rolling up to generally familiar Visits adopted in most healthcare systems worldwide. Accepted Concepts.",integer
visit_detail,visit_detail_start_date,,Start date of each visit (or start date of each movement),This is the date of the start of the encounter. This may or may not be equal to the date of the Visit the Visit Detail is associated with.,"When populating VISIT_DETAIL_START_DATE, you should think about the patient experience to make decisions on how to define visits. Most likely this should be the date of the patient-provider interaction.",date
visit_detail,visit_detail_start_datetime,,Start date and time of each visit (or start date and time of each movement),,"If no time is given for the start date of a visit, set it to midnight (00:00:0000).",datetime
visit_detail,visit_detail_end_date,,End date of each visit (or end date of each movement),"This the end date of the patient-provider interaction. If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_date, then set the visit_end_date to the date of the data pull.","Visit Detail end dates are mandatory. If end dates are not provided in the source there are three ways in which to derive them:
- Outpatient Visit Detail: visit_detail_end_datetime = visit_detail_start_datetime - Emergency Room Visit Detail: visit_detail_end_datetime = visit_detail_start_datetime - Inpatient Visit Detail: Usually there is information about discharge. If not, you should be able to derive the end date from the sudden decline of activity or from the absence of inpatient procedures/drugs. - Non-hospital institution Visit Details: Particularly for claims data, if end dates are not provided assume the visit is for the duration of month that it occurs.
For Inpatient Visit Details ongoing at the date of ETL, put date of processing the data into visit_detai_end_datetime and visit_detail_type_concept_id with 32220 “Still patient” to identify the visit as incomplete. All other Visits Details: visit_detail_end_datetime = visit_detail_start_datetime.",date
visit_detail,visit_detail_end_datetime,,End date and time of each visit (or end date and time of each movement),"If a Person is still an inpatient in the hospital at the time of the data extract and does not have a visit_end_datetime, then set the visit_end_datetime to the datetime of the data pull.","If no time is given for the end date of a visit, set it to midnight (00:00:0000).",datetime
visit_detail,visit_detail_type_concept_id,,Concept ID for EHR,"Use this field to understand the provenance of the visit detail record, or where the record comes from.","Populate this field based on the provenance of the visit detail record, as in whether it came from an EHR record or billing claim. Accepted Concepts. A more detailed explanation of each Type Concept can be found on the vocabulary wiki.",integer
visit_detail,provider_id,,"MCR DCR No. of attending doctor. First attending doctor for IP, attending doctor for OP.","There will only be one provider per visit record and the ETL document should clearly state how they were chosen (attending, admitting, etc.). This is a typical reason for leveraging the VISIT_DETAIL table as even though each VISIT_DETAIL record can only have one provider, there is no limit to the number of VISIT_DETAIL records that can be associated to a VISIT_OCCURRENCE record.",The additional providers associated to a Visit can be stored in this table where each VISIT_DETAIL record represents a different provider.,integer
visit_detail,provider_specialty,,Specialty Description,,,
visit_detail,care_site_id,,Location of visit. Records ward class/type for IP instead of specific ward location.,This field provides information about the Care Site where the Visit Detail took place.,There should only be one Care Site associated with a Visit Detail.,integer
visit_detail,visit_detail_source_value,,"Source value for type of visit (IP, OP)","This field houses the verbatim value from the source data representing the kind of visit detail that took place (inpatient, outpatient, emergency, etc.)","If there is information about the kind of visit detail in the source data that value should be stored here. If a visit is an amalgamation of visits from the source then use a hierarchy to choose the VISIT_DETAIL_SOURCE_VALUE, such as IP -> ER-> OP. This should line up with the logic chosen to determine how visits are created.",varchar(50)
visit_detail,preceding_visit_detail_id,,Event id for preceeding visit or movement,Use this field to find the visit detail that occurred for the person prior to the given visit detail record. There could be a few days or a few years in between.,"The PRECEDING_VISIT_DETAIL_ID can be used to link a visit immediately preceding the current Visit Detail. Note this is not symmetrical, and there is no such thing as a “following_visit_id”.",integer
visit_detail,visit_occurrence_id,,Records the visit_occurence_id that subsumes this visit detail,Use this field to link the VISIT_DETAIL record to its VISIT_OCCURRENCE.,Put the VISIT_OCCURRENCE_ID that subsumes the VISIT_DETAIL record here.,integer
visit_detail,visit_number,,"Hashed Singhealth visit number, if applicable.

IP will only have case number.",,,
visit_detail,case_number,,Hashed Singhealth case number,,,
condition_occurrence,condition_occurrence_id,Table ID,Event id in condition_occurrence table,The unique key given to a condition record for a person. Refer to the ETL for how duplicate conditions during the same visit were handled.,"Each instance of a condition present in the source data should be assigned this unique key. In some cases, a person can have multiple records of the same condition within the same visit. It is valid to keep these duplicates and assign them individual, unique, CONDITION_OCCURRENCE_IDs, though it is up to the ETL how they should be handled.",integer
condition_occurrence,person_id,Patient ID,Unique deidentified number used to identify a patient,The PERSON_ID of the PERSON for whom the condition is recorded.,,integer
condition_occurrence,condition_concept_id,Diagnosis (Topo-Histo code),"Concept id for conditions or diagnosis. 

For cancer diagnosis, concept ids will be mapped using icdo3 histo-topo codes","The CONDITION_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source value which represents a condition",The CONCEPT_ID that the CONDITION_SOURCE_VALUE maps to. Only records whose source values map to concepts with a domain of “Condition” should go in this table. Accepted Concepts.,integer
condition_occurrence,condition_start_date,Diagnosis Date,Start date of each condition or diagnosis. Also the date of diagnosis.,Use this date to determine the start date of the condition,"Most often data sources do not have the idea of a start date for a condition. Rather, if a source only has one date associated with a condition record it is acceptable to use that date for both the CONDITION_START_DATE and the CONDITION_END_DATE.",date
condition_occurrence,condition_type_concept_id,EHR,Concept id for EHR,"This field can be used to determine the provenance of the Condition record, as in whether the condition was from an EHR system, insurance claim, registry, or other sources.",Choose the CONDITION_TYPE_CONCEPT_ID that best represents the provenance of the record. Accepted Concepts. A more detailed explanation of each Type Concept can be found on the vocabulary wiki.,integer
condition_occurrence,condition_source_value,Diagnosis (Topo-Histo code),"Source value for each condition or diagnosis (from DCI or ehints).

For cancer diagnosis, histo code/descriptions and topo code/descriptions will be included here.

Diag Codes here are in icd9/10. Older diagnosis are coded in icd9","This field houses the verbatim value from the source data representing the condition that occurred. For example, this could be an ICD10 or Read code.",This code is mapped to a Standard Condition Concept in the Standardized Vocabularies and the original code is stored here for reference.,varchar(50)
condition_occurrence,ICD10,Topo (ICD10),All Diag Codes converted to icd10.,,,
condition_occurrence,ICDO3,Topo (ICDO3),All Diag Codes converted to icdo3.,,,
procedure_occurrence,procedure_occurrence_id,Table ID,Event id in procedure_occurrence table,The unique key given to a procedure record for a person. Refer to the ETL for how duplicate procedures during the same visit were handled.,"Each instance of a procedure occurrence in the source data should be assigned this unique key. In some cases, a person can have multiple records of the same procedure within the same visit. It is valid to keep these duplicates and assign them individual, unique, PROCEDURE_OCCURRENCE_IDs, though it is up to the ETL how they should be handled.",integer
procedure_occurrence,person_id,Patient ID,Unique deidentified number used to identify a patient,The PERSON_ID of the PERSON for whom the procedure is recorded. This may be a system generated code.,,integer
procedure_occurrence,procedure_concept_id,Procedure Concept ID (Sx/RT),Concept id of the procedure (surgery or radiotherapy),"The PROCEDURE_CONCEPT_ID field is recommended for primary use in analyses, and must be used for network studies. This is the standard concept mapped from the source value which represents a procedure",The CONCEPT_ID that the PROCEDURE_SOURCE_VALUE maps to. Only records whose source values map to standard concepts with a domain of “Procedure” should go in this table. Accepted Concepts.,integer
procedure_occurrence,procedure_concept_name,Procedure Name (Sx/RT),OMOP concept name corresponding to the concept ids of each procedure. ,,,
procedure_occurrence,procedure_source_value,Procedure Name (Sx/RT),Source description of surgery or radiotherapy procedure (from ehints or DCI),"This field houses the verbatim value from the source data representing the procedure that occurred. For example, this could be an CPT4 or OPCS4 code.",Use this value to look up the source concept id and then map the source concept id to a standard concept id.,varchar(50)
procedure_occurrence,procedure_date,Start Date of Procedure,Start date of each procedure,Use this date to determine the date the procedure started.,This is meant to be the start date of the procedure. It will be renamed in a future version to PROCEDURE_START_DATE.,date
procedure_occurrence,procedure_datetime,Start Date and Time of Procedure,Start date and time of each procedure.,,"If the procedure has a start time in the native date, use this field to house that information. This will be renamed in a future version to PROCEDURE_START_DATETIME.",datetime
procedure_occurrence,procedure_end_date,End Date of Procedure,End date of each procedure,Use this field to house the date that the procedure ended.,This is meant to be the end date of the procedure. It is not required and for most cases will be the same as the PROCEDURE_START_DATE.,date
procedure_occurrence,procedure_end_datetime,End Date and Time of Procedure,End date and time of each procedure.,Use this field to house the datetime that the procedure ended.,This is meant to house the end datetime of the procedure and will most often be used in conjunction with the procedure_start_datetime to determine the length of the procedure.,datetime
